<肖申克的救赎>
博纳德·福克斯 Bernard Fox,演员 Actor (饰 阿奇博尔德·格雷西 Col. Archibald Gracie),泰坦尼克号,木乃伊,霹雳游侠 第一季
迈克尔·英塞恩 Michael Ensign,演员 Actor (饰 本杰明 Benjamin Guggenheim),泰坦尼克号,老友记  第五季,老友记  第七季
法妮·布雷特 Fannie Brett,演员 Actress (饰 奥伯特夫人 Madame Aubert),泰坦尼克号,恋恋巴黎,铁面人
马丁·贾维斯 Martin Jarvis,演员 Actor (饰 达夫·戈登先生 Sir Duff Gordon),泰坦尼克号,无敌破坏王,龙纹身的女孩
罗莎琳·艾尔斯 Rosalind Ayres,演员 Actress (饰 达夫·戈登夫人 Lady Duff Gordon),泰坦尼克号,警察故事4：简单任务,众神与野兽
罗切尔·罗斯 Rochelle Rose,演员 Actress (饰 伯爵夫人罗西斯 Countess of Rothes),泰坦尼克号,星际探索,太阳帝国
乔纳森·伊万斯-琼斯 Jonathan Evans-Jones,演员 Actor (饰 华莱士·哈特利 Wallace Hartley),泰坦尼克号,Save Angel Hope
西蒙·克雷恩 Simon Crane,演员 Actor (饰 博克斯霍尔 4th Officer Boxhall),泰坦尼克号,史密斯夫妇,X战警3：背水一战
爱德华德·弗莱彻 Edward Fletcher,演员 Actor (饰 穆迪 6th Officer Moody),泰坦尼克号,小妇人,不要抬头
斯科特·安德森 Scott Anderson,演员 Actor (饰 弗雷德里克 Frederick Fleet),泰坦尼克号,黑色弥撒,告密者
马丁·伊斯特 Martin East,演员 Actor (饰 瞭望台的李 Lookout Lee),泰坦尼克号,漂亮宝贝
克雷格·凯利 Craig Kelly,演员 Actor (饰 哈罗德·布赖德 Harold Bride),泰坦尼克号,英版同志亦凡人 第一季,英版同志亦凡人 第二季
格雷戈里·库克 Gregory Cooke,演员 Actor (饰 杰克·菲利普斯 Jack Phillips),泰坦尼克号,30美元
利亚姆·图伊 Liam Tuohy,演员 Actor (饰 贝克·乔因 Chief Baker Joughin),泰坦尼克号,The Still Life
詹姆斯·兰开斯特 James Lancaster,演员 Actor (饰 神父拜尔斯 Father Byles),泰坦尼克号,加勒比海盗3：世界的尽头,驱魔人
艾尔莎·瑞雯 Elsa Raven,演员 Actress (饰 艾达·斯特劳斯 Ida Strauss),泰坦尼克号,回到未来,人人都爱雷蒙德 第一季
卢·帕尔特 Lew Palter,演员 Actor (饰 伊西多·斯特劳斯 Isidor Straus),泰坦尼克号,女神也疯狂,绿巨人 第四季
泰瑞·佛瑞斯塔 Terry Forrestal,演员 Actor (饰 总工程师贝尔 Chief Engineer Bell),泰坦尼克号,妙想天开,007之太空城
凯文·德·拉·诺伊 Kevin De La Noy,演员 Actor (饰 皮特曼 3rd Officer Pitman),泰坦尼克号,诸神之战,黑暗骑士的完结
詹姆斯·卡梅隆 James Cameron,演员 Actor (饰 统舱的舞者 Steerage Dancer),泰坦尼克号,阿凡达,阿丽塔：战斗天使
罗恩·多纳基 Ron Donachie,演员 Actor/Actress (饰 值勤军士 Master at Arms),泰坦尼克号,权力的游戏 第一季,权力的游戏  第二季
史蒂文·奎里 Steven Quale,演员 Actor (饰 机舱人员 Engine Room Worker),泰坦尼克号,阿凡达,我是传奇
詹妮特·戈德斯坦恩 Jenette Goldstein,演员 Actress (饰 爱尔兰妈妈 Irish Mommy),泰坦尼克号,终结者2：审判日,异形2
琳达·克恩斯 Linda Kerns,演员 Actor/Actress (饰 3rd Class Woman),泰坦尼克号,欢乐一家亲 第一季,数字追凶 第一季
林凡  Van Ling,演员 Actor (饰 中国人 Chinese Man),泰坦尼克号,终结者2：审判日,星河战队
马丁·哈伯 Martin Hub,演员 Actor (饰 Slovakian Father),泰坦尼克号,拯救大兵瑞恩,碟中谍4
马丁·莱恩 Martin Laing,演员 Actor (饰 散步甲板的管事 Promenade Deck Steward),泰坦尼克号,珍珠港,紧急救援
德里克·李 Derek Lea,演员 Actor (饰 巴雷特 Leading Stoker Barrett),泰坦尼克号,拯救大兵瑞恩,007：大破量子危机
保罗·赫伯特 Paul Herbert,演员 Actor (饰 Hold Steward #2),泰坦尼克号,达·芬奇密码,圣诞节回家
艾利克斯·欧文斯-萨尔诺 Alex Owens-Sarno,演员 Actress (饰 科拉·卡特梅尔 Cora Cartmell),泰坦尼克号,靠近你,格雷迪的农场
Julene Renee Julene Renee,演员 Actress (饰 舞者 Dancer),泰坦尼克号,阿凡达,极地特快
季冠霖 Guanlin Ji,配音 Voice,泰坦尼克号,疯狂动物城,阿凡达
曲敬国 Jingguo Qu,配音 Voice,泰坦尼克号,海上钢琴师,大明王朝1566
竹内结子 Yûko Takeuchi,配音 Voice,泰坦尼克号,午夜凶铃,金色梦乡
詹姆斯·霍纳 James Horner,配音 Voice,泰坦尼克号,阿凡达,美丽心灵
姜广涛 Guangtao Jiang,配音 Voice,泰坦尼克号,天使爱美丽,指环王1：护戒使者
佐佐木澄江 Sumie Sasaki,配音 Voice,泰坦尼克号,深夜食堂,花样男子2
刘之玲 ,配音 Voice (配 老年露丝（北影公映版）),泰坦尼克号,太阳之子,阿信
</泰坦尼克号>
<这个杀手不太冷>
让·雷诺 Jean Reno,演员 Actor (饰 莱昂 Léon),这个杀手不太冷,卢旺达饭店,碟中谍
娜塔莉·波特曼 Natalie Portman,演员 Actress (饰 马蒂尔达 Mathilda),这个杀手不太冷,复仇者联盟4：终局之战,黑天鹅
加里·奥德曼 Gary Oldman,演员 Actor (饰 斯坦斯菲尔德 Stansfield),这个杀手不太冷,蝙蝠侠：黑暗骑士,哈利·波特与死亡圣器(下)
丹尼·爱罗 Danny Aiello,演员 Actor (饰 托尼 Tony),这个杀手不太冷,教父2,美国往事
彼得·阿佩尔 Peter Appel,演员 Actor (饰 莫克 Malky),这个杀手不太冷,蜘蛛侠,灭顶之灾
迈克尔·巴达鲁科 Michael Badalucco,演员 Actor (饰 马蒂尔达父亲 Mathilda&#39;s Father),这个杀手不太冷,西雅图未眠夜,逃狱三王
艾伦·格里尼 Ellen Greene,演员 Actress (饰 马蒂尔达母亲 Mathilda&#39;s Mother),这个杀手不太冷,英雄 第一季,白头神探3
伊丽莎白·瑞根 Elizabeth Regen,演员 Actress (饰 马蒂尔达姐姐 Mathilda&#39;s Sister),这个杀手不太冷,破产姐妹 第四季,欲望都市  第五季
卡尔·马图斯维奇 Carl J. Matusovich,演员 Actor (饰 马蒂尔达弟弟 Mathilda&#39;s Brother),这个杀手不太冷,大智若愚,一见钟情
弗兰克·赛格 Frank Senger,演员 Actor (饰 胖子 Fatman),这个杀手不太冷,十三,监狱风云 第一季
麦温 Maïwenn,演员 Actress (饰 金发宝贝 Blond Babe),这个杀手不太冷,第五元素,我的国王
